model_label,model_key,sigma_m_cm2_g,r_s_kpc,rho_0_msun_pc3,t_cross_gyr,viable,n_checkpoints,final_ratio,final_t_gyr,init_ratio,skipped
M1,M1_dark_photon_massive,0.015561371131161584,0.042426406871192826,10.0,inf,False,4,0.5149132842240361,0.0026607101292231232,0.45315878316353,no
M1,M1_dark_photon_massive,0.015561371131161584,0.050453784915222843,10.0,inf,False,7,0.4421626533113683,0.026600818345211837,0.43294635835480116,no
M1,M1_dark_photon_massive,0.015561371131161584,0.05999999999999997,10.0,0.013099893510358862,True,6,0.36207542576877233,0.013301684775681851,0.4136577988644415,no
M1,M1_dark_photon_massive,0.015561371131161584,0.07135242690016323,10.0,0.004811568476576191,True,5,0.3372958741313136,0.006651274513611648,0.39548377502383614,no
M1,M1_dark_photon_massive,0.015561371131161584,0.08485281374238567,10.0,0.0020735854711955203,True,4,0.34057368811086236,0.0026625181831144823,0.37856230193353224,no
M1,M1_dark_photon_massive,0.015561371131161584,0.10090756983044573,10.0,0.0006895464614322088,True,3,0.3315440294245933,0.0013306875672162914,0.3629788702309376,no
M1,M1_dark_photon_massive,0.015561371131161584,0.11999999999999998,10.0,0.00013383906076512618,True,2,0.3130590337140593,0.0006656959587407304,0.3487702684316665,no
M1,M1_dark_photon_massive,0.02271993821195386,0.014999999999999996,10.0,inf,False,4,0.7150936616777895,0.0026611619299131747,0.5785603721296028,no
M1,M1_dark_photon_massive,0.02271993821195386,0.01783810672504081,10.0,inf,False,4,0.682729572154476,0.0026601354658620413,0.558657415800948,no
M1,M1_dark_photon_massive,0.02271993821195386,0.02121320343559642,10.0,inf,False,4,0.6686934634078017,0.00266039722232896,0.5379682637603689,no
M1,M1_dark_photon_massive,0.02271993821195386,0.025226892457611432,10.0,inf,False,4,0.6304831264856133,0.0026607450056790835,0.5167685061023886,no
M1,M1_dark_photon_massive,0.02271993821195386,0.029999999999999995,10.0,inf,False,4,0.5940900054910867,0.002660728915087846,0.4953604991813157,no
M1,M1_dark_photon_massive,0.02271993821195386,0.03567621345008163,10.0,inf,False,4,0.5575284275711074,0.002660619079405667,0.47405614661498824,no
M1,M1_dark_photon_massive,0.02271993821195386,0.042426406871192826,10.0,inf,False,4,0.5195034316838407,0.002660343185798648,0.45315878316353,no
M1,M1_dark_photon_massive,0.02271993821195386,0.050453784915222843,10.0,inf,False,8,0.5423527215437555,0.053204578100770776,0.43294635835480116,no
M1,M1_dark_photon_massive,0.02271993821195386,0.05999999999999997,10.0,inf,False,7,0.381685703805657,0.026601326341532484,0.4136577988644415,no
M1,M1_dark_photon_massive,0.02271993821195386,0.07135242690016323,10.0,0.00749651231603352,True,6,0.3181204632690834,0.013307095204401716,0.39548377502383614,no
M1,M1_dark_photon_massive,0.02271993821195386,0.08485281374238567,10.0,0.0017945512804505293,True,4,0.34013183369462413,0.002661468710983454,0.37856230193353224,no
M1,M1_dark_photon_massive,0.02271993821195386,0.10090756983044573,10.0,0.000853384729417523,True,3,0.34472986936040895,0.001332337420397097,0.3629788702309376,no
M1,M1_dark_photon_massive,0.02271993821195386,0.11999999999999998,10.0,0.00014008301772421898,True,2,0.3162690290913621,0.0006662885754551561,0.3487702684316665,no
M1,M1_dark_photon_massive,0.03317160088299166,0.014999999999999996,10.0,inf,False,4,0.7149402075197278,0.002661105789468662,0.5785603721296028,no
M1,M1_dark_photon_massive,0.03317160088299166,0.01783810672504081,10.0,inf,False,4,0.6825812369317502,0.0026602502519959227,0.558657415800948,no
M1,M1_dark_photon_massive,0.03317160088299166,0.02121320343559642,10.0,inf,False,4,0.6677540483408951,0.002661116574870291,0.5379682637603689,no
M1,M1_dark_photon_massive,0.03317160088299166,0.025226892457611432,10.0,inf,False,4,0.6302408662385481,0.0026603031479549783,0.5167685061023886,no
