model,sigma_low_dwarf,sigma_high_cluster,sigma_high_bullet
M3_massless_control,0.376936106038521,1.8451124668629072e-06,5.328129119210939e-08
M3_massless_control,0.7586914818641585,3.7138153901000706e-06,1.0724380371788013e-07
M3_massless_control,1.527083119478096,7.475113305799855e-06,2.1585875977387032e-07
M3_massless_control,3.073690570592818,1.5045798744735247e-05,4.3447735492195147e-07
M3_massless_control,6.186679430377074,3.0283963681384452e-05,8.745096661248666e-07
M3_massless_control,12.452457882534604,6.0955119220661285e-05,1.7602002670155438e-06
M3_massless_control,25.064125119352937,0.00012268957255053654,3.542905356016043e-06
M3_massless_control,50.4487044987067,0.000246947777399,7.131108088609514e-06
M3_massless_control,101.54241464557188,0.0004970528749473533,1.4353390074358437e-05
M3_massless_control,204.38308722709755,0.0010004607577182004,2.8890293635538305e-05
M3_massless_control,411.37928904176454,0.002013712782246943,5.814996053362208e-05
M3_massless_control,828.0182169108084,0.004053171639268737,0.00011704339016832564
M3_massless_control,1666.6229579354235,0.008158164601329872,0.00023558322407070512
M3_massless_control,3354.554316788189,0.01642063440333341,0.0004741784682050947
M3_massless_control,6751.997871325548,0.03305121278920786,0.0009544194863461394
M3_massless_control,13590.322573173973,0.06652499775622202,0.0019210415845437197
M3_massless_control,27354.402528367875,0.13390054261217366,0.003866644407769191
M3_massless_control,55058.54137421145,0.2695130539881547,0.007782725317569776
M3_massless_control,110821.0268936416,0.5424719336680127,0.015664955703461513
M3_massless_control,223058.94226819449,1.091879574896014,0.03153019375326441
M3_massless_control,448969.77694997744,2.1977192405399437,0.06346351288428569
M3_massless_control,903679.8012435234,4.423537147582831,0.12773843063355433
M3_massless_control,1818913.4883939438,8.903630880183679,0.2571100451132401
M3_massless_control,3661082.469375541,17.921098027599683,0.5175073387880496
M3_massless_control,7368973.254139671,36.071324029125854,1.0416312034076063
M3_massless_control,14832161.60096165,72.60383349336892,2.0965800532478
M3_massless_control,29853957.962658614,146.13593428609687,4.219965670475857
M3_massless_control,60089609.998478144,294.1402714172237,8.493885188122595
M3_massless_control,120947488.24546352,592.041236757122,17.09636789080163
M3_massless_control,243441335.5862503,1191.651943244841,34.41131927075582
M3_massless_control,489995160.1453835,2398.5396044663853,69.26260019188076
M3_massless_control,986255092.5778723,4827.745439266816,139.41074875955815
M3_massless_control,1985119827.1982772,9717.215418482527,280.60391633952975
M3_massless_control,3995620157.4944367,19558.6690883051,564.7954592144231
M3_massless_control,8042325820.45606,39367.403112028915,1136.812040653246
M3_massless_control,16187475799.234253,79238.13326908082,2288.15865051697
M3_massless_control,32581914560.623653,159489.35585365514,4605.572269385109
M3_massless_control,65580401144.81515,321017.84306596237,9270.028511238319
M3_massless_control,131999272366.65695,646140.019910062,18658.577821132527
M3_massless_control,265686205042.44116,1300541.1828263663,37555.71257253374
M3_massless_control,534769308074.49176,2617710.2734834813,75591.58904561927
M3_massless_control,1076375842745.7311,5268888.956679711,152149.6449682814
M3_massless_control,2166513555196.7515,10605142.63898212,306244.5803329157
M3_massless_control,4360726800480.6997,21345876.012545932,616404.6127273975
M3_massless_control,8777207132084.407,42964667.072758265,1240690.1901041444
M3_massless_control,17666634156265.336,86478653.56230955,2497243.070602112
M3_massless_control,35559142870221.75,174062969.2134092,5026414.332450505
M3_massless_control,71572922746941.22,350351398.9097693,10117093.261318946
M3_massless_control,144060932211880.22,705182172.1341494,20363537.362492662
M3_massless_control,289963737587382.94,1419380363.381716,40987430.20379924
M3_massless_control,583634770542675.9,2856908038.1833,82498900.10787746
M3_massless_control,1174731530985827.8,5750342719.403459,166052579.66084
M3_massless_control,2364482446118092.0,11574205731.740496,334228203.96349704
M3_massless_control,4759195689000368.0,23296392033.925724,672729641.1343149
