model,sigma_low_dwarf,rdiss_eff_b1938,rdiss_eff_cluster
M3_massless_control,32581914560.623653,1.05,1.0500000000000003
M3_massless_control,65580401144.81515,1.0499999999999996,1.0499999999999998
M3_massless_control,131999272366.65695,1.05,1.05
M3_massless_control,265686205042.44116,1.0499999999999998,1.0500000000000003
M3_massless_control,534769308074.49176,1.05,1.0499999999999998
M3_massless_control,1076375842745.7311,1.0499999999999998,1.0500000000000003
M3_massless_control,2166513555196.7515,1.05,1.05
M3_massless_control,4360726800480.6997,1.0499999999999998,1.0500000000000003
M3_massless_control,8777207132084.407,1.0499999999999998,1.0500000000000003
M3_massless_control,17666634156265.336,1.0500000000000005,1.0500000000000003
M3_massless_control,35559142870221.75,1.0499999999999998,1.05
M3_massless_control,71572922746941.22,1.0499999999999998,1.0500000000000005
M3_massless_control,144060932211880.22,1.05,1.05
M3_massless_control,289963737587382.94,1.05,1.05
M3_massless_control,583634770542675.9,1.0500000000000003,1.0500000000000003
M3_massless_control,1174731530985827.8,1.0500000000000003,1.0500000000000005
M3_massless_control,2364482446118092.0,1.0500000000000003,1.0499999999999996
M3_massless_control,4759195689000368.0,1.0500000000000003,1.0499999999999996
